app_slug,tier,scope,module_key,n,r0,r1,r2,r3,top_share,read_nothing,best_rank,ties,pass,fails
basin,advanced,final,,42,6,16,14,6,0.381,0.381,1,5,True,
basin,advanced,module,m01-the-reference-basin,15,2,6,3,4,0.4,0.4889,1,4,True,
basin,advanced,module,m02-the-forward-march,15,3,6,4,2,0.4,0.4333,1,3,True,
basin,advanced,module,m03-the-erosion-event,15,2,6,4,3,0.4,0.4222,1,1,True,
basin,advanced,module,m04-generation-and-expulsion,15,2,6,5,2,0.4,0.4,1,0,True,
basin,advanced,module,m05-what-the-model-buys,15,3,6,4,2,0.4,0.4,1,1,True,
basin,advanced,module,m06-the-charge-workflow,15,2,6,3,4,0.4,0.4222,1,2,True,
basin,beginner,final,,42,12,12,9,9,0.2857,0.2857,0,2,True,
basin,beginner,module,m01-why-basin-modelling,15,4,4,4,3,0.2667,0.2667,0,0,True,
basin,beginner,module,m02-compaction,15,4,4,4,3,0.2667,0.2667,0,0,True,
basin,beginner,module,m03-decompaction,15,4,3,4,4,0.2667,0.2667,0,0,True,
basin,beginner,module,m04-heat-in-the-subsurface,15,3,5,3,4,0.3333,0.3667,1,3,True,
basin,beginner,module,m05-burial-and-heat-together,15,3,4,4,4,0.2667,0.2667,1,0,True,
basin,beginner,module,m06-the-basin-workflow,15,4,4,4,3,0.2667,0.2667,0,0,True,
basin,intermediate,final,,42,6,15,15,6,0.3571,0.4048,1,10,True,
basin,intermediate,module,m01-from-a-snapshot-to-a-clock,15,2,6,3,4,0.4,0.4333,1,2,True,
basin,intermediate,module,m02-the-easy-ro-scheme,15,2,6,4,3,0.4,0.3667,1,3,True,
basin,intermediate,module,m03-the-heating-ramp,15,2,6,5,2,0.4,0.4111,2,6,True,
basin,intermediate,module,m04-the-kerogen-clock,15,2,6,5,2,0.4,0.3667,1,3,True,
basin,intermediate,module,m05-reading-a-maturity,15,2,6,5,2,0.4,0.4,1,2,True,
basin,intermediate,module,m06-the-kinetics-workflow,15,2,6,4,3,0.4,0.4,1,1,True,
carbon,advanced,final,,42,8,10,14,10,0.3333,0.2937,3,22,True,
carbon,advanced,module,m01-the-cost-of-a-tonne-abated,15,4,4,3,4,0.2667,0.3333,1,8,True,
carbon,advanced,module,m02-the-marginal-abatement-cost-curve,15,4,3,4,4,0.2667,0.3333,2,5,True,
carbon,advanced,module,m03-interactions-and-over-claims,15,4,4,4,3,0.2667,0.3333,2,5,True,
carbon,advanced,module,m04-targets-and-the-path,15,4,4,3,4,0.2667,0.2667,1,8,True,
carbon,advanced,module,m05-savings-into-the-ledger,15,4,3,5,3,0.3333,0.2889,1,5,True,
carbon,advanced,module,m06-the-expert-reading,15,4,5,3,3,0.3333,0.3389,1,6,True,
carbon,beginner,final,,42,10,7,13,12,0.3095,0.3115,2,30,True,
carbon,beginner,module,m01-what-an-inventory-counts,15,4,5,2,4,0.3333,0.3333,1,4,True,
carbon,beginner,module,m02-carbon-in-co2-out,15,4,4,3,4,0.2667,0.3,0,9,True,
carbon,beginner,module,m03-the-flare-as-an-inventory-line,15,2,5,5,3,0.3333,0.3111,2,12,True,
carbon,beginner,module,m04-global-warming-potentials,15,3,5,3,4,0.3333,0.3,2,9,True,
carbon,beginner,module,m05-lines-factors-and-provenance,15,4,2,5,4,0.3333,0.3,0,11,True,
carbon,beginner,module,m06-the-associate-reading,15,3,4,5,3,0.3333,0.3167,2,9,True,
carbon,intermediate,final,,42,11,11,10,10,0.2619,0.3075,1,28,True,
carbon,intermediate,module,m01-combustion-from-the-fuel-analysis,15,4,3,4,4,0.2667,0.35,0,8,True,
