course,tier,key,unit,expected,tol,class,flags,leak,shipped,source,printed,display_scale,prompt_decimals,rounding_miss,answer_space,guess_p,owner_decision,fix,source_ref,display_ref,evidence
basin,beginner,solid_100,m,38.57953418711555,0.05,none,[],True,,nextgen-panel,"{""decimals"": 8}",1.0,,2.8844482358181267e-09,,,True,,/root/wt-b5-nextgen/src/components/course/panels/basin/BurialHeatExplorer.jsx:124; /root/wt-b5-nextgen/src/content/courses/basin/beginner/m06-the-basin-workflow/l03-the-capstone-walkthrough.md,/root/wt-b5-nextgen/src/components/course/panels/basin/BurialHeatExplorer.jsx:124,"Tile ""Solid thickness in 100 m at surface"" fmt(read.solid100, 8); fmt = v.toFixed(d) (BurialHeatExplorer.jsx:18). Lithology defaults to shale (line 23). Closed-form grain integral is also taught (beginner m02/l04), so a hand-calc is possible. Printed resolution 1e-08 is far inside tol 0.05."
basin,beginner,restored,m,159.79553483785466,0.05,none,[],True,,nextgen-panel,"{""decimals"": 8}",1.0,,2.1453274712257553e-09,,,True,,/root/wt-b5-nextgen/src/components/course/panels/basin/BurialHeatExplorer.jsx:126; /root/wt-b5-nextgen/src/content/courses/basin/beginner/m06-the-basin-workflow/l03-the-capstone-walkthrough.md,/root/wt-b5-nextgen/src/components/course/panels/basin/BurialHeatExplorer.jsx:126,"Tile ""Restored to surface"" fmt(read.restored, 8); burial depth input defaults to 1000 (line 25), so the capstone value shows on open. Printed resolution 1e-08 is far inside tol 0.05."
basin,beginner,phi_2000,v/v,0.22717481230903933,0.001,none,[],True,,nextgen-panel,"{""decimals"": 8}",1.0,,2.3090393208580196e-09,,,True,,/root/wt-b5-nextgen/src/components/course/panels/basin/BurialHeatExplorer.jsx:123; /root/wt-b5-nextgen/src/content/courses/basin/beginner/m06-the-basin-workflow/l03-the-capstone-walkthrough.md,/root/wt-b5-nextgen/src/components/course/panels/basin/BurialHeatExplorer.jsx:123,"Tile ""Porosity at 2000 m"" fmt(read.phi, 8); depth defaults to 2000 (line 24). Also a one-line hand-calc 0.63 exp(-0.00051 x 2000). Printed resolution 1e-08 is far inside tol 0.001."
basin,beginner,t_first,degC,11.666666666666671,0.05,none,[],True,,nextgen-panel,"{""decimals"": 6}",1.0,,3.333333289390339e-07,,,True,,/root/wt-b5-nextgen/src/components/course/panels/basin/BurialHeatExplorer.jsx:128; /root/wt-b5-nextgen/src/content/courses/basin/beginner/m06-the-basin-workflow/l03-the-capstone-walkthrough.md,/root/wt-b5-nextgen/src/components/course/panels/basin/BurialHeatExplorer.jsx:128,"Tile ""Temperature at 50 m"" fmt(BASE.tFirstNode, 6), fixed golden column; hand-calc T = Ts + Qz/k is taught (beginner m04). Printed resolution 1e-06 is far inside tol 0.05."
basin,beginner,t_lowk_base,degC,41.66666666666673,0.05,none,[],True,,nextgen-panel,"{""decimals"": 6}",1.0,,3.3333326854290135e-07,,,True,,/root/wt-b5-nextgen/src/components/course/panels/basin/BurialHeatExplorer.jsx:129; /root/wt-b5-nextgen/src/content/courses/basin/beginner/m06-the-basin-workflow/l03-the-capstone-walkthrough.md,/root/wt-b5-nextgen/src/components/course/panels/basin/BurialHeatExplorer.jsx:129,"Tile ""Temperature at 950 m"" fmt(BASE.tLayer1Bottom, 6); hand-calc 10 + 0.06 x 950 / 1.8. Printed resolution 1e-06 is far inside tol 0.05."
basin,beginner,t_deepest,degC,59.619047619047684,0.05,none,[],True,,nextgen-panel,"{""decimals"": 6}",1.0,,3.809523150266614e-07,,,True,,/root/wt-b5-nextgen/src/components/course/panels/basin/BurialHeatExplorer.jsx:130; /root/wt-b5-nextgen/src/content/courses/basin/beginner/m06-the-basin-workflow/l03-the-capstone-walkthrough.md,/root/wt-b5-nextgen/src/components/course/panels/basin/BurialHeatExplorer.jsx:130,"Tile ""Temperature at 1950 m"" fmt(BASE.tDeepest, 6); hand-calc continues from 43.333 at 1000 m through k 3.5. Printed resolution 1e-06 is far inside tol 0.05."
basin,intermediate,ro_f0,%Ro,0.20189651799465538,0.001,none,[],True,,nextgen-panel,"{""decimals"": 8}",1.0,,2.005344612587834e-09,,,True,,/root/wt-b5-nextgen/src/components/course/panels/basin/KineticsExplorer.jsx:124; /root/wt-b5-nextgen/src/content/courses/basin/intermediate/m06-the-kinetics-workflow/l03-the-capstone-walkthrough.md,/root/wt-b5-nextgen/src/components/course/panels/basin/KineticsExplorer.jsx:124,"Tile ""Ro at zero reaction"" fmt(m.roF0, 8); fmt = v.toFixed(d) (KineticsExplorer.jsx:23). Closed form exp(-1.6) taught in intermediate m02/l02. Printed resolution 1e-08 is far inside tol 0.001."
basin,intermediate,ro_full,%Ro,4.687971627022019,0.005,none,[],True,,nextgen-panel,"{""decimals"": 8}",1.0,,2.9779805288399075e-09,,,True,,/root/wt-b5-nextgen/src/components/course/panels/basin/KineticsExplorer.jsx:125; /root/wt-b5-nextgen/src/content/courses/basin/intermediate/m06-the-kinetics-workflow/l03-the-capstone-walkthrough.md,/root/wt-b5-nextgen/src/components/course/panels/basin/KineticsExplorer.jsx:125,"Tile ""Ro at full reaction"" fmt(m.roFull, 8); closed form exp(-1.6 + 3.7 x 0.85). Printed resolution 1e-08 is far inside tol 0.005."
basin,intermediate,ro_150_r3,%Ro,0.9871413464062039,0.002,none,[],True,,nextgen-panel,"{""decimals"": 8}",1.0,,3.5937961495591253e-09,,,True,,/root/wt-b5-nextgen/src/components/course/panels/basin/KineticsExplorer.jsx:126; /root/wt-b5-nextgen/src/content/courses/basin/intermediate/m06-the-kinetics-workflow/l03-the-capstone-walkthrough.md,/root/wt-b5-nextgen/src/components/course/panels/basin/KineticsExplorer.jsx:126,"Tile ""Ro at 150 degC, rate ${rate}"" fmt(m.roAt(rate,150), 8); rate defaults to 3 (line 26), probe shows 0.98714135 on open. Needs the 20-bin Easy%Ro integrator, so the panel is the source. Printed resolution 1e-08 is far inside tol 0.002."
basin,intermediate,ro_150_r1,%Ro,1.1129254516555198,0.002,none,[],True,,nextgen-panel,"{""decimals"": 8}",1.0,,1.6555197213108386e-09,,,True,,/root/wt-b5-nextgen/src/components/course/panels/basin/KineticsExplorer.jsx:126; /root/wt-b5-nextgen/src/content/courses/basin/intermediate/m06-the-kinetics-workflow/l03-the-capstone-walkthrough.md,/root/wt-b5-nextgen/src/components/course/panels/basin/KineticsExplorer.jsx:126,"Same tile after one click on the rate 1 button; probe state ""1"" shows 1.11292545. Integrator-only quantity. Printed resolution 1e-08 is far inside tol 0.002."
