entry,rhob_g_cm3
0,2.3562
1,2.3965
2,2.3584
3,2.2975
4,2.3605
5,2.3022
6,2.3458
7,2.4102
8,2.3409
9,2.3189
10,2.342
11,2.387
12,2.3658
13,2.3505
14,2.3852
15,2.3726
16,2.3776
17,2.3735
18,2.4022
19,2.3798
20,2.3276
21,2.3583
22,2.3686
23,2.3572
24,2.3645
25,2.381
26,2.3034
27,2.3619
28,2.3206
29,2.3606
30,2.3045
31,2.3522
32,2.4042
33,2.2472
34,2.3747
35,2.3525
36,2.3743
37,2.429
38,2.3745
39,2.355
40,2.3709
41,2.3693
42,2.4707
43,2.3629
44,2.2874
45,2.4083
46,2.3827
47,2.3663
48,2.3938
49,2.3533
50,2.3257
51,2.336
52,2.3452
53,2.3023
54,2.3427
55,2.3207
56,null
57,2.6118
58,2.3876
59,2.3518
60,2.3126
61,2.3439
62,2.3437
63,2.3078
64,2.304
65,2.3691
66,2.347
67,2.3532
68,2.3511
69,2.3802
70,2.3743
71,2.3385
72,2.388
73,2.3413
74,2.3638
75,2.3108
76,2.3049
77,2.3553
78,2.425
79,2.3743
