row,rhob_g_cm3,nphi_v_v
0,2.296,0.253
1,2.331,0.222
2,2.304,0.274
3,2.274,0.268
4,2.392,0.173
5,2.381,0.191
6,2.38,0.214
7,2.311,0.237
8,2.338,0.23
9,2.303,0.214
10,2.327,0.231
11,2.42,0.191
12,2.24,0.277
13,2.351,0.214
14,2.369,0.214
15,2.273,0.239
16,2.317,0.235
17,2.33,0.193
18,2.241,0.29
19,2.322,0.195
20,2.338,0.222
21,2.339,0.203
22,2.389,0.188
23,2.29,0.162
24,2.303,0.234
25,2.254,0.285
26,2.335,0.21
27,2.271,0.257
28,2.348,0.227
29,2.391,0.149
30,2.299,0.249
31,2.291,0.265
32,2.26,0.267
33,2.345,0.225
34,2.238,0.294
35,2.319,0.22
