entry,depth_ft,rhob_g_cm3,nphi_v_v
0,6200,2.439,0.273
1,6200.5,2.371,0.249
2,6201,2.477,0.297
3,6201.5,2.347,0.22
4,6202,2.475,0.322
5,6202.5,2.373,0.273
6,6203,2.347,0.296
7,6203.5,2.459,0.319
8,6204,2.404,0.203
9,6204.5,2.501,0.293
10,6205,2.427,0.305
11,6205.5,2.559,0.327
12,6206,2.372,0.213
13,6206.5,2.431,0.335
14,6207,2.332,0.209
15,6207.5,2.446,0.22
16,6208,2.467,0.227
17,6208.5,2.377,0.254
18,6209,2.402,0.22
19,6209.5,2.39,0.252
20,6210,2.369,0.216
21,6210.5,2.407,0.272
22,6211,2.347,0.29
23,6211.5,2.478,0.237
24,6212,2.442,0.281
25,6212.5,2.425,0.335
26,6213,2.467,0.277
27,6213.5,2.436,0.268
28,6214,2.317,0.289
29,6214.5,2.467,0.254
30,6215,2.292,0.27
31,6215.5,2.31,0.297
32,6216,2.364,0.219
33,6216.5,2.47,0.261
34,6217,2.397,0.297
35,6217.5,2.458,0.288
36,6218,2.329,0.236
37,6218.5,2.542,0.29
38,6219,2.415,0.202
39,6219.5,2.36,0.2
40,6220,null,0.287
41,6220.5,null,0.199
42,6221,null,0.283
43,6221.5,null,0.263
44,6222,null,0.326
45,6222.5,null,0.231
46,6223,null,0.308
47,6223.5,null,0.271
48,6224,null,0.231
49,6224.5,2.361,0.401
50,6225,2.348,0.213
51,6225.5,2.396,0.354
52,6226,2.348,0.292
53,6226.5,2.361,0.304
54,6227,2.397,0.233
55,6227.5,2.445,0.248
56,6228,2.285,0.257
57,6228.5,2.418,0.311
58,6229,2.488,0.244
59,6229.5,2.384,0.274
60,6230,2.49,null
61,6230.5,2.391,null
62,6231,2.459,null
63,6231.5,2.445,null
64,6232,2.368,0.348
65,6232.5,2.29,0.285
66,6233,2.349,0.215
67,6233.5,2.32,0.318
68,6234,2.431,0.229
69,6234.5,2.511,0.265
70,6235,2.463,0.314
71,6235.5,2.335,0.228
72,6236,2.307,0.255
73,6236.5,2.471,0.23
74,6237,2.499,0.305
75,6237.5,2.385,0.249
76,6238,2.34,0.249
77,6238.5,2.402,0.234
78,6239,2.374,0.275
79,6239.5,2.387,0.241
80,6240,2.465,0.287
81,6240.5,2.39,0.306
82,6241,2.308,0.318
83,6241.5,2.368,0.23
84,6242,2.443,0.305
85,6242.5,2.421,0.214
86,6243,2.38,0.25
87,6243.5,2.395,0.292
88,6244,2.359,0.18
89,6244.5,2.44,0.265
90,6245,2.406,0.302
91,6245.5,2.382,0.254
92,6246,2.363,0.284
93,6246.5,2.452,0.262
94,6247,2.381,0.221
95,6247.5,2.331,0.27
96,6248,2.472,0.316
97,6248.5,2.424,0.266
98,6249,2.389,0.276
99,6249.5,2.323,0.195
100,6250,null,0.21
101,6250.5,2.372,0.272
102,6251,2.431,0.268
103,6251.5,2.433,0.251
104,6252,2.365,0.292
105,6252.5,2.529,0.272
106,6253,2.39,0.275
107,6253.5,2.408,0.246
108,6254,2.432,0.302
109,6254.5,2.404,0.268
110,6255,2.462,0.281
111,6255.5,2.32,0.245
112,6256,2.424,0.234
113,6256.5,2.451,0.286
114,6257,2.416,0.182
115,6257.5,2.457,0.327
116,6258,2.351,0.326
117,6258.5,2.437,0.292
118,6259,2.385,0.214
119,6259.5,2.302,0.278
120,6260,2.372,0.229
121,6261,2.428,0.283
122,6261.5,2.258,0.235
123,6262,2.47,0.272
124,6262.5,2.437,0.229
125,6263,2.455,0.234
126,6263.5,2.408,0.258
127,6264,2.471,0.234
128,6264.5,2.397,0.239
129,6265,2.458,0.246
130,6265.5,2.579,0.293
131,6266,null,0.319
132,6266.5,2.377,0.278
133,6267,2.454,0.27
134,6267.5,2.452,0.308
135,6268,2.474,0.306
136,6268.5,2.436,0.293
137,6269,2.37,0.254
138,6269.5,2.458,0.247
139,6270,2.414,0.232
140,6270.5,2.43,0.31
141,6271,2.44,0.251
142,6271.5,2.407,0.275
143,6272,2.408,0.245
144,6272.5,2.346,0.328
145,6273,2.416,0.223
146,6273.5,2.42,0.274
147,6274,2.438,0.259
148,6274.5,2.333,0.291
149,6275,2.442,0.249
150,6275.5,2.477,null
151,6276,2.37,0.266
152,6276.5,2.344,0.224
153,6277,2.472,0.199
154,6277.5,2.444,0.252
155,6278,2.413,0.252
156,6278.5,2.408,0.278
157,6279,2.365,0.305
158,6279.5,2.388,0.343
159,6280,2.411,0.267
160,6280.5,2.43,0.282
161,6281,2.495,0.221
162,6281.5,2.42,0.27
163,6282,2.396,0.212
164,6282.5,2.477,0.303
165,6283,2.461,0.306
166,6283.5,2.322,0.251
167,6284,2.427,0.288
168,6284.5,2.459,0.208
169,6285,2.392,0.351
170,6285.5,2.367,0.25
171,6286,2.4,0.285
172,6286.5,2.416,0.216
173,6287,2.45,0.27
174,6287.5,2.336,0.282
175,6288,-999.25,0.252
176,6288.5,-999.25,0.222
177,6289,-999.25,0.281
178,6289.5,2.348,0.364
179,6290,2.349,0.296
