day,oil_bbl_d,water_bbl_d,gross_bbl_d,water_cut_v_v,cum_oil_bbl
1,970.7,435.8,1406.5,0.3098,842970.7
2,915.2,419.6,1334.8,0.3144,843885.9
3,935.5,429.6,1365.1,0.3147,844821.4
4,948.6,432.8,1381.4,0.3133,845770
5,949.4,439.8,1389.2,0.3166,846719.4
6,930.5,436.9,1367.4,0.3195,847649.9
7,936.8,434.8,1371.6,0.317,848586.7
8,933,453,1386,0.3268,849519.7
9,947.3,428.2,1375.5,0.3113,850467
10,933.3,444.9,1378.2,0.3228,851400.3
11,933.5,440.8,1374.3,0.3207,852333.8
12,922.4,438.4,1360.8,0.3222,853256.2
13,909.2,449.1,1358.3,0.3306,854165.4
14,930.1,483.1,1413.2,0.3418,855095.5
15,929.7,449.7,1379.4,0.326,856025.2
16,903.1,444.5,1347.6,0.3298,856928.3
17,938.8,454.3,1393.1,0.3261,857867.1
18,895.5,441.6,1337.1,0.3303,858762.6
19,904.1,463,1367.1,0.3387,859666.7
20,888.1,436.9,1325,0.3297,860554.8
21,892.3,449.2,1341.5,0.3348,861447.1
22,902.2,449.5,1351.7,0.3325,862349.3
23,911,466.3,1377.3,0.3348,863260.3
24,885.3,430.6,1315.9,0.3272,864145.6
25,897.7,443,1340.7,0.3304,865043.3
26,892.4,441.9,1334.3,0.3312,865935.7
27,880,449.4,1329.4,0.338,866815.7
28,867.2,450.4,1317.6,0.3418,867682.9
29,880,460.7,1340.7,0.3436,868562.9
30,876.3,462.7,1339,0.3456,869439.2
31,879.7,467.8,1347.5,0.3472,870318.9
32,865.1,454,1319.1,0.3442,871184
33,839.5,433.3,1272.8,0.3404,872023.5
34,876.5,473.8,1350.3,0.3509,872900
35,873.9,469.4,1343.3,0.3494,873773.9
36,865.1,467.7,1332.8,0.3509,874639
37,860.3,446.4,1306.7,0.3416,875499.3
38,846.3,443.1,1289.4,0.3436,null
39,857.5,483.9,1341.4,0.3607,868203.1
40,860.2,461.9,1322.1,0.3494,878063.3
41,849.4,467.4,1316.8,0.355,878912.7
42,860.4,481.2,1341.6,0.3587,879773.1
43,831.8,461.2,1293,0.3567,880604.9
44,842.7,476.5,1350.9,0.3612,881447.6
45,833.1,482.1,1315.2,0.3666,882280.7
46,835,493,1328,0.3712,883115.7
47,830.4,466.6,1297,0.3598,883946.1
48,821.8,454.5,1276.3,0.3561,884767.9
49,851.3,501.7,1353,0.3708,885619.2
50,830.9,472.3,1303.2,0.3624,886450.1
51,819,485.7,1304.7,0.3723,887269.1
52,828.7,490.2,1318.9,0.3717,888097.8
53,831.7,501.1,1332.8,0.376,888929.5
54,815.4,486.6,1302,0.3737,889744.9
55,807.2,481.4,1288.6,0.3736,890552.1
56,805,483.5,1288.5,0.3752,891357.1
57,792.4,482.6,1275,0.3785,892149.5
58,785.1,467.2,1252.3,0.3731,892934.6
59,816.8,471.3,1288.1,0.3659,893751.4
60,799.2,471.3,1270.5,0.371,894550.6
