entry,time_min
0,0
1,15.1189
2,30.2033
3,45.1158
4,59.9345
5,74.8724
6,89.8603
7,104.9716
8,119.9587
9,135.1509
10,150.0435
11,150.0435
12,164.974
13,179.7836
14,194.6579
15,209.6998
16,224.6932
17,239.8488
18,269.7043
19,284.7409
20,299.5935
21,314.5125
22,329.3923
23,344.3527
24,359.3032
25,374.2185
26,389.3987
27,404.694
28,419.6027
29,434.5858
30,449.6247
31,449.6247
32,464.7858
33,479.6106
34,494.6389
35,509.5586
36,524.4385
37,554.5931
38,539.5446
39,569.6015
40,584.6057
41,599.6429
42,614.5164
43,629.4435
44,644.4604
45,659.5994
46,674.8037
47,689.8805
48,704.8141
