well,depth,GR,RHOB,NPHI,PEF,CALI,FACIES
IHIALA-1,5435,113.4,2.513,0.303,2.97,8.6,shale
IHIALA-1,5436,96.9,2.568,0.353,3.02,8.76,shale
IHIALA-1,5437,131.1,2.593,0.283,3.36,9.1,shale
IHIALA-1,5438,100.1,2.534,0.329,3.43,8.85,shale
IHIALA-1,5439,105.7,2.587,0.326,3.49,8.61,shale
IHIALA-1,5440,121.5,2.553,0.333,3.85,8.76,shale
IHIALA-1,5441,29.4,2.278,0.185,1.62,8.71,sandstone
IHIALA-1,5442,57.5,2.352,0.175,1.68,8.78,sandstone
IHIALA-1,5443,49.8,2.284,0.189,1.64,8.71,sandstone
IHIALA-1,5444,114.7,2.517,0.273,3.75,8.86,shale
IHIALA-1,5445,125.6,2.441,0.335,3.54,8.87,shale
IHIALA-1,5446,35.4,2.261,0.275,1.76,8.73,sandstone
IHIALA-1,5447,46.8,2.336,0.215,1.82,9.04,sandstone
IHIALA-1,5448,35.2,2.312,0.194,1.59,8.86,sandstone
IHIALA-1,5449,41.5,2.294,0.189,1.73,8.72,sandstone
IHIALA-1,5450,45.7,2.334,0.231,1.71,8.83,sandstone
IHIALA-1,5451,49.9,2.329,0.227,1.92,8.62,sandstone
IHIALA-1,5452,42.8,2.291,0.242,1.58,8.72,sandstone
IHIALA-1,5453,52.2,2.349,0.191,1.82,8.76,sandstone
IHIALA-1,5454,27.6,2.284,0.24,1.88,9.11,sandstone
IHIALA-1,5455,54,2.293,0.153,1.42,8.76,sandstone
IHIALA-1,5456,27.1,2.339,0.25,1.92,8.94,sandstone
IHIALA-1,5457,48.9,2.315,0.173,1.59,8.99,sandstone
IHIALA-1,5458,52.9,2.348,0.208,1.78,9.39,sandstone
IHIALA-1,5459,43.4,2.332,0.212,1.93,8.62,sandstone
IHIALA-2,5485,32.3,2.701,0.038,4.8,8.98,limestone
IHIALA-2,5486,28.5,2.661,0.081,4.82,8.64,limestone
IHIALA-2,5487,51,2.65,0.074,4.92,8.71,limestone
IHIALA-2,5488,24.9,2.684,0.044,4.97,8.82,limestone
IHIALA-2,5489,109.4,2.522,0.303,3.08,8.77,shale
IHIALA-2,5490,139.4,2.5,0.34,3.3,8.92,shale
IHIALA-2,5491,113.9,2.532,0.325,3.36,9.12,shale
IHIALA-2,5492,114.5,2.496,0.303,3.62,8.62,shale
IHIALA-2,5493,23.7,2.607,0.042,5.07,8.65,limestone
IHIALA-2,5494,17.7,2.675,0.08,4.96,8.7,limestone
IHIALA-2,5495,26.5,2.644,0.051,5,8.83,limestone
IHIALA-2,5496,35.9,2.679,0.077,4.88,8.69,limestone
IHIALA-2,5497,42.9,2.302,0.182,1.95,8.61,sandstone
IHIALA-2,5498,21.6,2.667,0.107,5.05,8.62,limestone
IHIALA-2,5499,110.2,2.514,0.391,3.75,8.61,shale
IHIALA-2,5500,114.8,2.462,0.289,3.04,8.79,shale
IHIALA-2,5501,59.7,2.475,0.241,2.2,9.07,shaly-sand
IHIALA-2,5502,83.2,2.423,0.242,2.44,9.13,shaly-sand
IHIALA-2,5503,57.3,2.431,0.26,2.79,8.73,shaly-sand
IHIALA-2,5504,66.5,2.33,0.237,2.07,8.63,shaly-sand
IHIALA-2,5505,89.9,2.421,0.193,2.29,8.98,shaly-sand
IHIALA-2,5506,60.8,2.368,0.197,2.59,8.74,shaly-sand
IHIALA-2,5507,44.9,2.358,0.233,1.73,8.6,sandstone
IHIALA-2,5508,47.3,2.331,0.209,1.69,8.85,sandstone
IHIALA-2,5509,45.5,2.282,0.231,2.12,8.73,sandstone
IHIALA-3,5518,58.1,2.297,0.203,1.73,8.99,sandstone
IHIALA-3,5519,53,2.321,0.204,2.04,8.88,sandstone
IHIALA-3,5520,54.2,2.316,0.205,1.74,8.87,sandstone
IHIALA-3,5521,46.6,2.3,0.196,1.89,8.94,sandstone
IHIALA-3,5522,29,2.246,0.218,1.77,8.7,sandstone
IHIALA-3,5523,35,2.249,0.24,2.04,8.7,sandstone
IHIALA-3,5524,41,2.279,0.239,1.92,9.27,sandstone
IHIALA-3,5525,41.8,2.386,0.232,2.01,8.99,sandstone
IHIALA-3,5526,41.7,2.294,0.203,2.12,8.61,sandstone
IHIALA-3,5527,45.9,2.375,0.21,1.77,8.77,sandstone
IHIALA-3,5528,45.4,2.268,0.205,1.48,8.61,sandstone
IHIALA-3,5529,33.3,2.265,0.258,2.05,8.65,sandstone
IHIALA-3,5530,50.8,2.283,0.179,1.82,8.6,sandstone
IHIALA-3,5531,38.6,2.355,0.28,1.63,8.9,sandstone
IHIALA-3,5532,40.2,2.299,0.264,1.71,8.82,sandstone
IHIALA-3,5533,23.3,2.284,0.209,1.34,8.98,sandstone
IHIALA-3,5534,31.8,2.672,0.053,4.4,9.17,limestone
IHIALA-3,5535,52.6,2.292,0.151,2.09,8.99,sandstone
IHIALA-3,5536,49.6,2.312,0.191,1.58,8.78,sandstone
IHIALA-3,5537,50.3,2.268,0.186,1.93,8.6,sandstone
IHIALA-3,5538,30.5,2.263,0.22,1.96,8.71,sandstone
