well,depth,GR,RHOB,NPHI,PEF,CALI,FACIES
NKWELLE-1,7752,47.2,2.268,0.215,1.62,8.9,sandstone
NKWELLE-1,7753,27.4,2.366,0.185,2.16,8.82,sandstone
NKWELLE-1,7754,54.6,2.366,0.225,1.52,8.71,sandstone
NKWELLE-1,7755,37.9,2.25,0.22,1.79,9.03,sandstone
NKWELLE-1,7756,43.8,2.216,0.179,1.53,8.89,sandstone
NKWELLE-1,7757,31.5,2.414,0.188,1.89,8.74,sandstone
NKWELLE-1,7758,108.5,2.493,0.317,3.73,8.75,shale
NKWELLE-1,7759,105.8,2.6,0.257,3.66,8.82,shale
NKWELLE-1,7760,132.5,2.532,0.347,3.27,8.96,shale
NKWELLE-1,7761,107.9,2.574,0.387,3.28,8.98,shale
NKWELLE-1,7762,122.3,2.488,0.32,3.66,8.65,shale
NKWELLE-1,7763,103.8,2.475,0.311,3.44,9.03,shale
NKWELLE-1,7764,18.8,2.658,0.074,5.06,8.71,limestone
NKWELLE-1,7765,22.3,2.639,0.107,4.92,8.61,limestone
NKWELLE-1,7766,21.5,2.626,0.049,4.39,8.68,limestone
NKWELLE-1,7767,25.2,2.642,0.047,5.08,8.74,limestone
NKWELLE-1,7768,110.5,2.573,0.333,3.34,8.97,shale
NKWELLE-1,7769,126.1,2.553,0.365,3.25,8.65,shale
NKWELLE-1,7770,104.5,2.445,0.356,3.37,8.76,shale
NKWELLE-1,7771,132.8,2.553,0.339,3.65,9.03,shale
NKWELLE-1,7772,41.5,2.309,0.229,1.65,8.72,sandstone
NKWELLE-1,7773,69.1,2.384,0.232,2.54,9.22,shaly-sand
NKWELLE-1,7774,69.6,2.386,0.241,1.76,8.78,shaly-sand
NKWELLE-1,7775,54,2.478,0.223,3.08,8.85,shaly-sand
NKWELLE-2,7794,44.2,2.404,0.18,1.84,8.91,sandstone
NKWELLE-2,7795,52.3,2.265,0.218,1.68,8.72,sandstone
NKWELLE-2,7796,47.8,2.267,0.186,1.59,9.08,sandstone
NKWELLE-2,7797,38,2.321,0.18,1.79,8.88,sandstone
NKWELLE-2,7798,42,2.299,0.185,1.97,8.63,sandstone
NKWELLE-2,7799,125.3,2.44,0.326,3.01,9.23,shale
NKWELLE-2,7800,25.1,2.664,0.064,5.34,9.29,limestone
NKWELLE-2,7801,22.7,2.67,0.05,4.91,9.09,limestone
NKWELLE-2,7802,26.5,2.728,0.04,5.16,8.86,limestone
NKWELLE-2,7803,73.9,2.427,0.215,2.16,9.16,shaly-sand
NKWELLE-2,7804,64.8,2.389,0.254,2.61,8.74,shaly-sand
NKWELLE-2,7805,57.7,2.345,0.312,2.18,9.21,shaly-sand
NKWELLE-2,7806,55.7,2.404,0.244,2.39,9.05,shaly-sand
NKWELLE-2,7807,30.7,2.236,0.277,2.24,8.64,sandstone
NKWELLE-2,7808,52.4,2.29,0.187,1.84,8.83,sandstone
NKWELLE-2,7809,31.1,2.675,0.095,5.18,9.41,limestone
NKWELLE-2,7810,35.9,2.716,0.05,4.9,8.73,limestone
NKWELLE-2,7811,14.6,2.659,0.089,4.91,8.61,limestone
NKWELLE-2,7812,24.4,2.64,0.079,5.07,8.93,limestone
NKWELLE-2,7813,16.3,2.684,0.075,4.42,8.69,limestone
NKWELLE-2,7814,21.9,2.669,0.056,5.11,8.61,limestone
NKWELLE-2,7815,125.5,2.535,0.292,3.55,9.11,shale
NKWELLE-2,7816,101.1,2.522,0.335,2.91,9.21,shale
NKWELLE-2,7817,116.1,2.553,0.307,3.26,8.77,shale
NKWELLE-3,7853,103.1,2.61,0.32,3.14,8.66,shale
NKWELLE-3,7854,89.6,2.508,0.231,3.4,9.01,shale
NKWELLE-3,7855,124.7,2.603,0.314,3.32,9.08,shale
NKWELLE-3,7856,46.7,2.294,0.189,2.17,8.63,sandstone
NKWELLE-3,7857,130.6,2.588,0.323,3.32,8.66,shale
NKWELLE-3,7858,101.8,2.529,0.313,3.29,8.75,shale
NKWELLE-3,7859,101.9,2.497,0.304,3.18,8.76,shale
NKWELLE-3,7860,108,2.528,0.279,3.11,8.67,shale
NKWELLE-3,7861,106.3,2.567,0.28,3.28,8.74,shale
NKWELLE-3,7862,129,2.454,0.311,3.46,8.64,shale
NKWELLE-3,7863,100.4,2.553,0.323,3.21,8.91,shale
NKWELLE-3,7864,69.2,2.343,0.276,2.58,8.71,shaly-sand
NKWELLE-3,7865,104.3,2.306,0.251,1.84,8.79,shaly-sand
NKWELLE-3,7866,63,2.412,0.189,2.53,8.92,shaly-sand
NKWELLE-3,7867,83.6,2.343,0.22,2.66,8.77,shaly-sand
NKWELLE-3,7868,86,2.478,0.205,2.1,9.09,shaly-sand
NKWELLE-3,7869,52.3,2.358,0.271,2.39,8.77,shaly-sand
NKWELLE-3,7870,48.2,2.42,0.213,2.53,9.26,shaly-sand
NKWELLE-3,7871,36.2,2.256,0.239,2.08,8.94,sandstone
NKWELLE-3,7872,38.2,2.318,0.21,2.25,8.82,sandstone
NKWELLE-3,7873,46.8,2.285,0.222,1.62,8.61,sandstone
NKWELLE-3,7874,36.8,2.362,0.213,2.08,8.99,sandstone
NKWELLE-3,7875,38.8,2.332,0.271,1.9,8.96,sandstone
NKWELLE-3,7876,46,2.288,0.19,2.09,9.04,sandstone
NKWELLE-4,7901,134.8,2.443,0.39,3.3,9.22,shale
NKWELLE-4,7902,116.1,2.499,0.294,3.35,8.72,shale
NKWELLE-4,7903,66.8,2.298,0.196,2.72,9.32,shaly-sand
NKWELLE-4,7904,39.7,2.278,0.199,1.69,9.03,sandstone
NKWELLE-4,7905,37.1,2.332,0.204,1.84,8.78,sandstone
NKWELLE-4,7906,35.3,2.332,0.228,1.84,8.6,sandstone
NKWELLE-4,7907,44.3,2.239,0.226,2.1,9.04,sandstone
NKWELLE-4,7908,36.3,2.331,0.243,1.72,8.6,sandstone
NKWELLE-4,7909,50.5,2.272,0.207,1.45,8.7,sandstone
NKWELLE-4,7910,50.3,2.313,0.205,1.81,9.16,sandstone
NKWELLE-4,7911,48.4,2.32,0.216,2.01,8.71,sandstone
NKWELLE-4,7912,34.4,2.295,0.214,1.85,8.77,sandstone
NKWELLE-4,7913,17.4,2.326,0.211,1.84,8.79,sandstone
NKWELLE-4,7914,32.7,2.279,0.183,1.79,8.81,sandstone
NKWELLE-4,7915,39.4,2.275,0.181,1.43,8.61,sandstone
NKWELLE-4,7916,97,2.598,0.346,3.34,8.78,shale
NKWELLE-4,7917,117.4,2.458,0.316,3.04,9.83,shale
NKWELLE-4,7918,114,2.596,0.325,3.29,8.68,shale
