well,depth,GR,RHOB,NPHI,PEF,CALI,FACIES
OGBUNIKE-1,5010,22.7,2.636,0.08,5.18,8.73,limestone
OGBUNIKE-1,5011,23.4,2.69,0.072,4.81,8.6,limestone
OGBUNIKE-1,5012,20.6,2.657,0.075,5.43,8.68,limestone
OGBUNIKE-1,5013,23.5,2.665,0.047,4.88,8.98,limestone
OGBUNIKE-1,5014,31.8,2.715,0.067,5.87,8.79,limestone
OGBUNIKE-1,5015,27.8,2.697,0.055,5.31,8.7,limestone
OGBUNIKE-1,5016,30.9,2.667,0.051,5.31,8.72,limestone
OGBUNIKE-1,5017,28.4,2.708,0.041,5.3,8.66,limestone
OGBUNIKE-1,5018,25.5,2.643,0.045,5.2,8.68,limestone
OGBUNIKE-1,5019,25,2.71,0.057,5.41,8.85,limestone
OGBUNIKE-1,5020,25.3,2.687,0.066,5.29,8.85,limestone
OGBUNIKE-1,5021,22.8,2.664,0.031,4.5,8.86,limestone
OGBUNIKE-1,5022,17.6,2.682,0.102,5.15,8.72,limestone
OGBUNIKE-1,5023,36.6,2.66,0.08,5.31,8.69,limestone
OGBUNIKE-1,5024,20.6,2.695,0.043,4.98,9.17,limestone
OGBUNIKE-1,5025,27.6,2.638,0.046,4.93,8.85,limestone
OGBUNIKE-1,5026,29.1,2.63,0.043,4.63,8.75,limestone
OGBUNIKE-1,5027,9.7,2.639,0.063,5.12,8.91,limestone
OGBUNIKE-1,5028,16.8,2.664,0.078,4.74,8.62,limestone
OGBUNIKE-1,5029,49.9,2.322,0.198,2.17,8.63,sandstone
OGBUNIKE-1,5030,23.7,2.671,0.067,4.69,8.9,limestone
OGBUNIKE-1,5031,29.2,2.656,0.074,4.76,9.05,limestone
OGBUNIKE-1,5032,45.3,2.39,0.212,1.53,8.69,sandstone
OGBUNIKE-1,5033,37.9,2.274,0.214,1.68,8.61,sandstone
OGBUNIKE-1,5034,32.5,2.39,0.199,1.93,8.61,sandstone
OGBUNIKE-2,5080,26.1,2.657,0.047,4.92,9.18,limestone
OGBUNIKE-2,5081,33.1,2.662,0.077,5.2,9.12,limestone
OGBUNIKE-2,5082,22.2,2.624,0.104,5.71,8.77,limestone
OGBUNIKE-2,5083,78.2,2.347,0.243,2.48,8.74,shaly-sand
OGBUNIKE-2,5084,69.4,2.389,0.269,2.46,8.87,shaly-sand
OGBUNIKE-2,5085,104.6,2.497,0.339,3.51,8.73,shale
OGBUNIKE-2,5086,95.6,2.552,0.299,3.17,8.77,shale
OGBUNIKE-2,5087,115.2,2.603,0.339,3.04,8.72,shale
OGBUNIKE-2,5088,110.6,2.532,0.343,3.52,8.73,shale
OGBUNIKE-2,5089,104.5,2.401,0.376,3.08,8.94,shale
OGBUNIKE-2,5090,29.1,2.674,0.069,5.04,8.65,limestone
