well,month,rate_bopd
AGULU-1,0,1396.9
AGULU-1,1,1352
AGULU-1,2,1211.8
AGULU-1,3,1153.3
AGULU-1,4,1063.3
AGULU-1,5,1035.7
AGULU-1,6,1015.6
AGULU-1,7,953.4
AGULU-1,8,958.2
AGULU-1,9,827.9
AGULU-1,10,869.2
AGULU-1,11,795.1
AGULU-1,12,700.3
AGULU-1,13,725.8
AGULU-1,14,663.9
AGULU-1,15,662.8
AGULU-1,16,659
AGULU-1,17,631.1
AGULU-1,18,605.3
AGULU-1,19,554
AGULU-1,20,569.6
AGULU-1,21,542.4
AGULU-1,22,521.2
AGULU-1,23,498.9
AGULU-1,24,482.5
AGULU-1,25,484.7
AGULU-1,26,446
AGULU-1,27,424.7
AGULU-1,28,401.8
AGULU-1,29,379.4
AGULU-1,30,395.1
AGULU-1,31,367.1
AGULU-1,32,353
AGULU-1,33,328.7
AGULU-1,34,345.6
AGULU-1,35,338.4
AGULU-1,36,331.8
AGULU-1,37,320
AGULU-1,38,306.5
AGULU-1,39,298.3
AGULU-1,40,275.7
AGULU-1,41,287.3
AGULU-2,0,627.4
AGULU-2,1,624.8
AGULU-2,2,661.6
AGULU-2,3,640.6
AGULU-2,4,677.8
AGULU-2,5,692.7
AGULU-2,6,588.8
AGULU-2,7,546.3
AGULU-2,8,540.6
AGULU-2,9,587.3
AGULU-2,10,520.4
AGULU-2,11,513.4
AGULU-2,12,520.1
AGULU-2,13,588.2
AGULU-2,14,448.4
AGULU-2,15,468.7
AGULU-2,16,390.3
AGULU-2,17,444.9
AGULU-2,18,449.8
AGULU-2,19,417.8
AGULU-2,20,447.3
AGULU-2,21,408.2
AGULU-2,22,378.3
AGULU-2,23,486.5
AGULU-2,24,379.8
AGULU-2,25,318.3
AGULU-2,26,349.1
AGULU-2,27,363.9
AGULU-2,28,321.5
AGULU-2,29,317.7
AGULU-2,30,337.7
AGULU-2,31,329.3
AGULU-2,32,343.9
AGULU-2,33,289.5
AGULU-2,34,316
AGULU-2,35,314.3
AGULU-2,36,255.7
AGULU-2,37,326.5
AGULU-2,38,283
AGULU-2,39,303.6
AGULU-2,40,328.4
AGULU-2,41,320.3
