well,month,rate_bopd
NANKA-1,0,1143.6
NANKA-1,1,962.1
NANKA-1,2,971.7
NANKA-1,3,991.2
NANKA-1,4,912.7
NANKA-1,5,938.7
NANKA-1,6,795.4
NANKA-1,7,837.9
NANKA-1,8,765.7
NANKA-1,9,760.3
NANKA-1,10,785
NANKA-1,11,649.5
NANKA-1,12,702.6
NANKA-1,13,636.7
NANKA-1,14,623.7
NANKA-1,15,600.4
NANKA-1,16,554.6
NANKA-1,17,541.5
NANKA-1,18,520.3
NANKA-1,19,553.3
NANKA-1,20,556.1
NANKA-1,21,528.4
NANKA-1,22,491.4
NANKA-1,23,476.3
NANKA-1,24,456.2
NANKA-1,25,442.9
NANKA-1,26,423.8
NANKA-1,27,386.2
NANKA-1,28,402.5
NANKA-1,29,361.8
NANKA-1,30,398.4
NANKA-1,31,376.6
NANKA-1,32,378.7
NANKA-1,33,354.7
NANKA-1,34,377.3
NANKA-1,35,337.1
NANKA-1,36,345.7
NANKA-1,37,322.1
NANKA-1,38,318.7
NANKA-1,39,333.5
NANKA-1,40,0
NANKA-1,41,0
NANKA-1,42,275.6
NANKA-1,43,270.2
NANKA-1,44,270.6
NANKA-1,45,257.8
NANKA-1,46,268.2
NANKA-1,47,263.4
NANKA-2,0,1047.3
NANKA-2,1,937.2
NANKA-2,2,993.7
NANKA-2,3,891.5
NANKA-2,4,807.8
NANKA-2,5,764.4
NANKA-2,6,661.2
NANKA-2,7,637.8
NANKA-2,8,597.3
NANKA-2,9,627.8
NANKA-2,10,620.6
NANKA-2,11,551.3
NANKA-2,12,521.1
NANKA-2,13,507.4
NANKA-2,14,424.9
NANKA-2,15,426.5
NANKA-2,16,463.4
NANKA-2,17,378.4
NANKA-2,18,382.8
NANKA-2,19,359.7
NANKA-2,20,391.2
NANKA-2,21,341.6
NANKA-2,22,344.1
NANKA-2,23,306.3
NANKA-2,24,327
NANKA-2,25,274.7
NANKA-2,26,277.4
NANKA-2,27,284.7
NANKA-2,28,270.2
NANKA-2,29,267.9
NANKA-2,30,241.1
NANKA-2,31,233.5
NANKA-2,32,221.3
NANKA-2,33,229.9
NANKA-2,34,215.5
NANKA-2,35,216.3
NANKA-2,36,208.7
NANKA-2,37,181.6
NANKA-2,38,188
NANKA-2,39,188.3
NANKA-2,40,159.3
NANKA-2,41,157.6
NANKA-2,42,172.7
NANKA-2,43,152.8
NANKA-2,44,153.7
NANKA-2,45,153
NANKA-2,46,143.4
NANKA-2,47,140.7
NANKA-2,48,128.5
NANKA-2,49,130
