well,month,rate_bopd
UMUNZE-1,0,912.7
UMUNZE-1,1,836.1
UMUNZE-1,2,795.2
UMUNZE-1,3,789.5
UMUNZE-1,4,804.6
UMUNZE-1,5,696.1
UMUNZE-1,6,688.4
UMUNZE-1,7,649.3
UMUNZE-1,8,592.3
UMUNZE-1,9,629.5
UMUNZE-1,10,563
UMUNZE-1,11,568.3
UMUNZE-1,12,492.4
UMUNZE-1,13,493.6
UMUNZE-1,14,509.9
UMUNZE-1,15,467.6
UMUNZE-1,16,456.5
UMUNZE-1,17,428.1
UMUNZE-1,18,473.6
UMUNZE-1,19,407.1
UMUNZE-1,20,424
UMUNZE-1,21,392
UMUNZE-1,22,367.3
UMUNZE-1,23,346.2
UMUNZE-1,24,351.7
UMUNZE-1,25,337.4
UMUNZE-1,26,324.1
UMUNZE-1,27,326.8
UMUNZE-1,28,342.9
UMUNZE-1,29,312.5
UMUNZE-1,30,312.7
UMUNZE-1,31,293
UMUNZE-1,32,282.8
UMUNZE-1,33,271.4
UMUNZE-1,34,250.7
UMUNZE-1,35,239.8
UMUNZE-1,36,277.1
UMUNZE-1,37,241.8
UMUNZE-1,38,245.1
UMUNZE-1,39,231.3
UMUNZE-1,40,226.8
UMUNZE-1,41,225.4
UMUNZE-1,42,221.5
UMUNZE-1,43,229.7
UMUNZE-1,44,206.6
UMUNZE-2,0,1230
UMUNZE-2,1,1233.7
UMUNZE-2,2,1026.9
UMUNZE-2,3,967.7
UMUNZE-2,4,942.5
UMUNZE-2,5,935.9
UMUNZE-2,6,874.5
UMUNZE-2,7,803.2
UMUNZE-2,8,817.2
UMUNZE-2,9,742.2
UMUNZE-2,10,742.4
UMUNZE-2,11,697.5
UMUNZE-2,12,682.1
UMUNZE-2,13,638.9
UMUNZE-2,14,605.9
UMUNZE-2,15,545.7
UMUNZE-2,16,605.3
UMUNZE-2,17,556.5
UMUNZE-2,18,478.1
UMUNZE-2,19,470.4
UMUNZE-2,20,479.1
UMUNZE-2,21,444.8
UMUNZE-2,22,455.8
UMUNZE-2,23,389.5
UMUNZE-2,24,414.3
UMUNZE-2,25,388.1
UMUNZE-2,26,366.9
UMUNZE-2,27,329.5
UMUNZE-2,28,0
UMUNZE-2,29,0
UMUNZE-2,30,0
UMUNZE-2,31,464.2
UMUNZE-2,32,429
UMUNZE-2,33,424.9
UMUNZE-2,34,406.6
UMUNZE-2,35,391.3
UMUNZE-2,36,349.9
UMUNZE-2,37,354.9
UMUNZE-2,38,357
UMUNZE-2,39,330.8
UMUNZE-2,40,323.5
UMUNZE-2,41,320.4
UMUNZE-2,42,337.7
UMUNZE-2,43,303.8
UMUNZE-2,44,302.6
UMUNZE-2,45,276.2
UMUNZE-2,46,284.1
UMUNZE-2,47,241.9
UMUNZE-2,48,282.5
UMUNZE-2,49,243.5
UMUNZE-2,50,267.6
UMUNZE-2,51,243.4
