well,depth,GR,RHOB,NPHI,RT,CALI,DT,PHIC,PAY,easting,northing,kb,mudWeight
AKPARA-1,6139,81.03,2.549,0.25,2.83,9.25,101,0.126,0,509.11,134.64,26.2,10
AKPARA-1,6140,73.97,2.524,0.27,2.52,8.78,102.3,0.157,0,509.11,134.64,26.2,10
AKPARA-1,6141,72.09,2.524,0.248,2.35,9.28,98.2,0.133,0,509.11,134.64,26.2,10
AKPARA-1,6142,33.35,2.248,0.24,44.73,8.99,81.7,0.263,1,509.11,134.64,26.2,10
AKPARA-1,6143,67.12,2.549,0.217,2.18,8.77,87.8,0.124,0,509.11,134.64,26.2,10
AKPARA-1,6144,22.27,2.231,0.278,33.88,8.86,82.5,0.297,1,509.11,134.64,26.2,10
AKPARA-1,6145,73.75,2.494,0.232,2.14,8.79,92.5,0.133,0,509.11,134.64,26.2,10
AKPARA-1,6146,76.22,2.558,0.233,2.55,8.78,101.7,0.059,0,509.11,134.64,26.2,10
AKPARA-1,6147,53.36,2.422,0.24,1.83,8.93,89.8,0.154,0,509.11,134.64,26.2,10
AKPARA-1,6148,45.38,2.332,0.271,1.95,8.99,93.4,0.202,0,509.11,134.64,26.2,10
AKPARA-1,6149,26.93,2.184,0.297,44.05,9.07,85.6,0.258,1,509.11,134.64,26.2,10
AKPARA-1,6150,72.24,2.483,0.268,2.84,9.05,95.5,0.2,0,509.11,134.64,26.2,10
AKPARA-1,6151,33.95,2.248,0.267,39.62,8.87,85.7,0.256,1,509.11,134.64,26.2,10
AKPARA-1,6152,31.06,2.26,0.243,1.29,9.22,82.6,0.254,0,509.11,134.64,26.2,10
AKPARA-1,6153,39.96,2.229,0.29,57.71,9.09,88.7,0.259,1,509.11,134.64,26.2,10
AKPARA-1,6154,37.91,2.22,0.315,27.06,9.1,91.3,0.25,1,509.11,134.64,26.2,10
AKPARA-1,6155,24,2.142,0.314,1.18,8.81,91.4,0.315,0,509.11,134.64,26.2,10
AKPARA-1,6156,44.36,2.305,0.301,33.44,9,95.3,0.265,1,509.11,134.64,26.2,10
AKPARA-1,6157,65.41,2.47,0.247,2.15,9.15,96.4,0.126,0,509.11,134.64,26.2,10
AKPARA-1,6158,30.93,2.235,0.267,1.19,9.49,85.2,0.261,0,509.11,134.64,26.2,10
AKPARA-1,6159,57.62,2.374,0.246,38.72,9.07,89.5,0.217,1,509.11,134.64,26.2,10
AKPARA-1,6160,56.21,2.402,0.265,2.14,9.11,92,0.214,0,509.11,134.64,26.2,10
AKPARA-1,6161,34.68,2.21,0.324,1.49,9.04,93.3,0.259,0,509.11,134.64,26.2,10
AKPARA-1,6162,45.14,2.326,0.25,40.74,9.08,88.6,0.228,1,509.11,134.64,26.2,10
AKPARA-2,6187,54.96,2.34,0.343,1.82,8.96,114.3,0.235,0,510.33,133.01,14.2,10
AKPARA-2,6188,24.47,2.143,0.305,40.12,9,101.2,0.315,1,510.33,133.01,14.2,10
AKPARA-2,6189,56.94,2.422,0.266,2.06,8.99,102.8,0.147,0,510.33,133.01,14.2,10
AKPARA-2,6190,35.91,2.301,0.267,36.48,9.13,95.7,0.224,1,510.33,133.01,14.2,10
AKPARA-2,6191,52.9,2.306,0.268,43.31,9.11,103,0.225,1,510.33,133.01,14.2,10
AKPARA-2,6192,64.53,2.391,0.32,27.53,9,116.6,0.193,1,510.33,133.01,14.2,10
AKPARA-2,6193,69.42,2.476,0.268,2.29,9.16,105.5,0.145,0,510.33,133.01,14.2,10
AKPARA-2,6194,67.25,2.391,0.307,27.67,9.16,113.5,0.127,0,510.33,133.01,14.2,10
AKPARA-2,6195,77.09,2.483,0.278,25.73,9.27,116.9,0.119,0,510.33,133.01,14.2,10
AKPARA-2,6196,64.07,2.363,0.287,43.24,9.02,105.7,0.199,1,510.33,133.01,14.2,10
AKPARA-2,6197,57.49,2.34,0.318,2.32,9,110,0.212,0,510.33,133.01,14.2,10
AKPARA-2,6198,67.77,2.498,0.228,2.33,9.03,101.8,0.152,0,510.33,133.01,14.2,10
AKPARA-2,6199,67.04,2.431,0.248,1.83,9.13,104.5,0.172,0,510.33,133.01,14.2,10
AKPARA-2,6200,55.79,2.498,0.245,2.61,9.45,105.4,0.118,0,510.33,133.01,14.2,10
AKPARA-2,6201,30.92,2.218,0.307,1.23,8.79,96,0.261,0,510.33,133.01,14.2,10
AKPARA-2,6202,56.06,2.486,0.243,2.23,8.89,106.2,0.108,0,510.33,133.01,14.2,10
AKPARA-2,6203,99.09,2.628,0.29,4.42,8.77,128.7,0.051,0,510.33,133.01,14.2,10
AKPARA-2,6204,53.75,2.34,0.286,1.95,9.12,103.6,0.194,0,510.33,133.01,14.2,10
AKPARA-2,6205,44.25,2.327,0.257,26.71,8.8,100.5,0.217,1,510.33,133.01,14.2,10
