well,depth,GR,RHOB,NPHI,RT,CALI,DT,PHIC,PAY,easting,northing,kb,mudWeight
ISUAMA-1,11253,33.94,2.239,0.277,43.36,8.78,90.2,0.244,1,510.51,132.42,20.1,9.8
ISUAMA-1,11254,68.76,2.468,0.284,22.41,9.24,102.9,0.158,0,510.51,132.42,20.1,9.8
ISUAMA-1,11255,59.92,2.371,0.294,2.39,8.89,112.8,0.206,0,510.51,132.42,20.1,9.8
ISUAMA-1,11256,47.66,2.466,0.234,1.95,8.79,93.7,0.15,0,510.51,132.42,20.1,9.8
ISUAMA-1,11257,58.39,2.39,0.259,21.87,8.91,102.2,0.2,1,510.51,132.42,20.1,9.8
ISUAMA-1,11258,38.26,2.296,0.262,1.6,9.33,95.9,0.235,0,510.51,132.42,20.1,9.8
ISUAMA-1,11259,60.36,2.477,0.278,31.31,9.06,108.7,0.165,0,510.51,132.42,20.1,9.8
ISUAMA-1,11260,26.08,2.18,0.305,46.87,9.33,94.8,0.312,1,510.51,132.42,20.1,9.8
ISUAMA-1,11261,39.22,2.238,0.284,38.12,8.82,99,0.271,1,510.51,132.42,20.1,9.8
ISUAMA-1,11262,51.93,2.399,0.269,27.11,8.95,102.7,0.178,1,510.51,132.42,20.1,9.8
ISUAMA-1,11263,59.37,2.466,0.234,2.18,8.82,96.7,0.139,0,510.51,132.42,20.1,9.8
ISUAMA-1,11264,26.44,2.143,0.303,49.49,9.15,99.9,0.314,1,510.51,132.42,20.1,9.8
ISUAMA-1,11265,60.08,2.347,0.288,47.93,9.08,103.3,0.203,1,510.51,132.42,20.1,9.8
ISUAMA-1,11266,79.25,2.465,0.265,2.76,9.77,110.6,0.151,0,510.51,132.42,20.1,9.8
ISUAMA-1,11267,35.72,2.182,0.33,67.37,9.14,105.4,0.344,1,510.51,132.42,20.1,9.8
ISUAMA-1,11268,29.25,2.239,0.272,34.97,9,92.1,0.259,1,510.51,132.42,20.1,9.8
ISUAMA-1,11269,60.74,2.43,0.282,25.7,9.17,104.2,0.186,1,510.51,132.42,20.1,9.8
ISUAMA-1,11270,41.75,2.329,0.237,38.81,8.86,94.5,0.166,0,510.51,132.42,20.1,9.8
ISUAMA-1,11271,61.47,2.346,0.308,23.75,8.93,109,0.202,1,510.51,132.42,20.1,9.8
ISUAMA-1,11272,36.17,2.242,0.305,34.18,8.94,106.1,0.269,1,510.51,132.42,20.1,9.8
ISUAMA-1,11273,60.35,2.474,0.263,31.08,8.8,100.9,0.163,0,510.51,132.42,20.1,9.8
ISUAMA-1,11274,51.51,2.385,0.296,2,9.14,102.6,0.205,0,510.51,132.42,20.1,9.8
ISUAMA-1,11275,23.67,2.214,0.27,1.19,9.19,94.3,0.25,0,510.51,132.42,20.1,9.8
ISUAMA-1,11276,68.82,2.5,0.271,3.07,9.01,103.8,0.116,0,510.51,132.42,20.1,9.8
ISUAMA-1,11277,62.88,2.357,0.297,21.56,8.84,104.4,0.178,1,510.51,132.42,20.1,9.8
ISUAMA-2,11290,24.39,2.137,0.343,1.19,8.85,102.7,0.322,0,507.07,133.11,16.2,10.4
ISUAMA-2,11291,62.69,2.489,0.25,2.34,9.33,103.8,0.138,0,507.07,133.11,16.2,10.4
ISUAMA-2,11292,48.42,2.271,0.291,1.67,8.98,103.8,0.245,0,507.07,133.11,16.2,10.4
ISUAMA-2,11293,52.81,2.348,0.262,1.92,8.99,96.4,0.199,0,507.07,133.11,16.2,10.4
ISUAMA-2,11294,52.76,2.434,0.25,26.6,8.99,98.6,0.169,0,507.07,133.11,16.2,10.4
ISUAMA-2,11295,94.74,2.538,0.272,2.63,9.48,111.6,0.1,0,507.07,133.11,16.2,10.4
ISUAMA-2,11296,82.44,2.608,0.261,3.93,8.87,109.3,0.057,0,507.07,133.11,16.2,10.4
ISUAMA-2,11297,72.86,2.534,0.245,2.95,9.59,102,0.117,0,507.07,133.11,16.2,10.4
ISUAMA-2,11298,37.92,2.359,0.274,2.03,8.8,103.7,0.214,0,507.07,133.11,16.2,10.4
ISUAMA-2,11299,59.53,2.353,0.307,34.61,8.91,109.1,0.15,0,507.07,133.11,16.2,10.4
ISUAMA-2,11300,27.48,2.129,0.337,1.35,8.99,103.4,0.306,0,507.07,133.11,16.2,10.4
ISUAMA-2,11301,58.74,2.36,0.29,2.47,9.06,106.7,0.193,0,507.07,133.11,16.2,10.4
