well,depth,GR,RHOB,NPHI,RT,CALI,DT,PHIC,PAY,easting,northing,kb,mudWeight
OBORIA-1,9326,30.21,2.204,0.304,34.74,9.19,91.3,0.292,1,506.17,131.57,26.1,10.3
OBORIA-1,9327,67.56,2.513,0.221,2.75,8.77,96.7,0.126,0,506.17,131.57,26.1,10.3
OBORIA-1,9328,75.96,2.543,0.271,3.43,8.87,103.2,0.114,0,506.17,131.57,26.1,10.3
OBORIA-1,9329,58.05,2.446,0.248,28,9,95.3,0.161,0,506.17,131.57,26.1,10.3
OBORIA-1,9330,67.21,2.467,0.278,3.05,8.81,102,0.155,0,506.17,131.57,26.1,10.3
OBORIA-1,9331,41.93,2.269,0.265,27.02,8.93,92.5,0.223,1,506.17,131.57,26.1,10.3
OBORIA-1,9332,31.71,2.24,0.265,1.2,8.84,83.4,0.234,0,506.17,131.57,26.1,10.3
OBORIA-1,9333,79.68,2.462,0.293,25.57,8.88,106,0.174,0,506.17,131.57,26.1,10.3
OBORIA-1,9334,29.24,2.187,0.301,1.36,8.86,93.4,0.334,0,506.17,131.57,26.1,10.3
OBORIA-1,9335,41.62,2.254,0.28,1.57,8.9,93.7,0.251,0,506.17,131.57,26.1,10.3
OBORIA-1,9336,38.48,2.312,0.253,40.21,8.93,89.3,0.242,1,506.17,131.57,26.1,10.3
OBORIA-1,9337,50.65,2.366,0.224,1.87,8.84,88.8,0.19,0,506.17,131.57,26.1,10.3
OBORIA-1,9338,34.88,2.197,0.294,1.24,8.79,93,0.33,0,506.17,131.57,26.1,10.3
OBORIA-1,9339,31.69,2.232,0.294,53.78,8.77,89.3,0.263,1,506.17,131.57,26.1,10.3
OBORIA-1,9340,37.49,2.33,0.279,32.25,8.76,89.2,0.212,1,506.17,131.57,26.1,10.3
OBORIA-1,9341,51.35,2.281,0.295,1.85,8.96,98.2,0.237,0,506.17,131.57,26.1,10.3
OBORIA-1,9342,69.99,2.399,0.319,2.05,8.86,106.4,0.222,0,506.17,131.57,26.1,10.3
OBORIA-1,9343,42.35,2.233,0.299,1.75,8.79,96.6,0.254,0,506.17,131.57,26.1,10.3
OBORIA-1,9344,31.78,2.223,0.307,43.03,8.98,86.5,0.297,1,506.17,131.57,26.1,10.3
OBORIA-1,9345,44.35,2.375,0.242,30.18,8.81,92.3,0.144,0,506.17,131.57,26.1,10.3
OBORIA-1,9346,68.1,2.446,0.266,2.44,8.83,104.5,0.162,0,506.17,131.57,26.1,10.3
OBORIA-1,9347,29.17,2.268,0.226,35.59,9,83,0.241,1,506.17,131.57,26.1,10.3
OBORIA-1,9348,73.72,2.428,0.297,24.75,8.89,103.2,0.16,0,506.17,131.57,26.1,10.3
OBORIA-1,9349,64.86,2.45,0.279,19.68,9.32,102.8,0.156,0,506.17,131.57,26.1,10.3
OBORIA-1,9350,58.21,2.373,0.276,25.4,9.45,100.1,0.22,1,506.17,131.57,26.1,10.3
OBORIA-2,9365,44.02,2.367,0.249,2.05,8.83,102,0.168,0,510.25,131.89,23.3,9.9
OBORIA-2,9366,88.34,2.675,0.225,3.18,8.92,111.9,0.015,0,510.25,131.89,23.3,9.9
OBORIA-2,9367,32.79,2.336,0.25,1.54,9.26,96.2,0.179,0,510.25,131.89,23.3,9.9
OBORIA-2,9368,68.55,2.385,0.287,1.82,8.77,114.5,0.202,0,510.25,131.89,23.3,9.9
OBORIA-2,9369,78.17,2.581,0.237,3.14,9.05,110.4,0.084,0,510.25,131.89,23.3,9.9
OBORIA-2,9370,32.16,2.271,0.253,26.73,8.99,91.5,0.252,1,510.25,131.89,23.3,9.9
OBORIA-2,9371,68.95,2.343,0.323,2.35,9.11,117.4,0.218,0,510.25,131.89,23.3,9.9
OBORIA-2,9372,34.1,2.213,0.29,1.21,9.01,98.4,0.277,0,510.25,131.89,23.3,9.9
OBORIA-2,9373,71.12,2.505,0.253,2.54,9.25,106.3,0.159,0,510.25,131.89,23.3,9.9
OBORIA-2,9374,79.14,2.637,0.208,2.48,9.04,107.4,0.052,0,510.25,131.89,23.3,9.9
OBORIA-2,9375,28.86,2.15,0.303,46.31,9.22,98.1,0.287,1,510.25,131.89,23.3,9.9
OBORIA-2,9376,57.54,2.455,0.251,2.32,8.77,99.5,0.158,0,510.25,131.89,23.3,9.9
OBORIA-2,9377,39.87,2.306,0.249,39.74,8.84,95.1,0.185,1,510.25,131.89,23.3,9.9
OBORIA-2,9378,70.57,2.429,0.287,2.85,8.96,120,0.151,0,510.25,131.89,23.3,9.9
OBORIA-2,9379,75.69,2.69,0.208,2.54,8.77,112.1,0.096,0,510.25,131.89,23.3,9.9
OBORIA-2,9380,59.35,2.43,0.265,2.44,9.15,110.9,0.183,0,510.25,131.89,23.3,9.9
OBORIA-2,9381,65.13,2.451,0.25,2.38,8.99,107.5,0.146,0,510.25,131.89,23.3,9.9
OBORIA-2,9382,48.09,2.27,0.323,45.11,8.93,109.8,0.239,1,510.25,131.89,23.3,9.9
OBORIA-2,9383,42.93,2.271,0.333,31.88,8.87,106.5,0.263,1,510.25,131.89,23.3,9.9
OBORIA-2,9384,70.5,2.46,0.248,2.83,9.04,107.8,0.149,0,510.25,131.89,23.3,9.9
OBORIA-2,9385,68.5,2.491,0.242,2.59,8.8,106.9,0.107,0,510.25,131.89,23.3,9.9
OBORIA-2,9386,55.89,2.385,0.267,32.45,9.16,105.3,0.187,1,510.25,131.89,23.3,9.9
OBORIA-2,9387,31.24,2.21,0.293,1.32,9,100.4,0.308,0,510.25,131.89,23.3,9.9
OBORIA-2,9388,58.36,2.382,0.291,35.69,8.76,110.6,0.194,1,510.25,131.89,23.3,9.9
OBORIA-2,9389,52.07,2.422,0.288,33.05,9.09,111.5,0.186,1,510.25,131.89,23.3,9.9
OBORIA-3,9411,76.06,2.493,0.266,2.25,8.78,114.5,0.117,0,509.86,133.99,25,9.8
OBORIA-3,9412,48.54,2.375,0.273,1.63,8.86,104.8,0.194,0,509.86,133.99,25,9.8
OBORIA-3,9413,66.25,2.39,0.287,39.04,9.39,104.1,0.193,1,509.86,133.99,25,9.8
OBORIA-3,9414,25.19,2.156,0.302,1.21,9.17,97.2,0.325,0,509.86,133.99,25,9.8
OBORIA-3,9415,89.52,2.592,0.253,2.43,8.99,113.6,0.089,0,509.86,133.99,25,9.8
OBORIA-3,9416,31.87,2.296,0.228,29.11,8.77,88.1,0.229,1,509.86,133.99,25,9.8
OBORIA-3,9417,30.46,2.155,0.356,28.87,8.82,109.1,0.297,1,509.86,133.99,25,9.8
OBORIA-3,9418,29,2.323,0.234,1.45,8.77,93.2,0.186,0,509.86,133.99,25,9.8
OBORIA-3,9419,39.18,2.329,0.262,1.46,8.89,99.5,0.227,0,509.86,133.99,25,9.8
OBORIA-3,9420,52.08,2.328,0.304,34.21,9.39,109.3,0.241,1,509.86,133.99,25,9.8
OBORIA-3,9421,83.31,2.597,0.259,3.21,9.05,111.4,0.101,0,509.86,133.99,25,9.8
OBORIA-3,9422,76.1,2.48,0.277,2.06,8.79,118,0.124,0,509.86,133.99,25,9.8
