# OBODO-4 pressure buildup after 48 h at 620 stb/d
# shut-in time dt (h), shut-in pressure pws (psia)
dt_h,pws_psia
0.010000,4655.680
0.012589,4659.420
0.015849,4664.068
0.019953,4669.829
0.025119,4676.943
0.031623,4685.687
0.039811,4696.374
0.050119,4709.346
0.063096,4724.954
0.079433,4743.536
0.100000,4765.373
0.125893,4790.625
0.158489,4819.261
0.199526,4850.966
0.251189,4885.071
0.316228,4920.507
0.398107,4955.849
0.501187,4989.467
0.630957,5019.805
0.794328,5045.723
1.000000,5066.771
1.258925,5083.261
1.584893,5096.068
1.995262,5106.274
2.511886,5114.827
3.162278,5122.383
3.981072,5129.310
5.011872,5135.788
6.309573,5141.900
7.943282,5147.686
10.000000,5153.163
12.589254,5158.338
15.848932,5163.206
19.952623,5167.754
25.118864,5171.969
31.622777,5175.837
39.810717,5179.348
50.118723,5182.496
63.095734,5185.283
79.432823,5187.722
